DeviceID,Timestamp,Temp_C,Humidity,Pressure,Vibration,Voltage,Current,Power,SignalStrength,Battery,ErrorCode,Latitude,Longitude,Location,Firmware,UptimeSec,MaintenanceDueDays,Status
Dev1003,2024-10-26,-4.22,99.07,1024.61,1.342,4.805,0.885,47.68,89,90.0,E1,13.161707,76.868282,Outdoor,V5.7,1970-01-01 00:00:00.000611317,201,Active
Dev1030,2024-07-01,42.69,18.28,1039.77,3.84,3.265,0.174,34.02,43,9.0,E2,27.367589,95.671827,Plant2,V4.7,1970-01-01 00:00:00.000622084,283,Fault
Dev1042,2024-12-29,-5.69,68.46,1007.16,3.764,3.049,0.636,53.16,86,56.0,Ok,9.028133,81.501253,Warehouse,V2.4,1970-01-01 00:00:00.000026046,89,Idle
Dev1019,2024-07-01,6.06,16.36,1041.82,2.868,4.144,0.276,47.13,9,12.0,E2,13.815898,69.82943,Plant1,V4.8,1970-01-01 00:00:00.000091366,317,Idle
Dev1022,2024-04-22,15.74,57.51,1014.05,4.807,4.0,1.894,0.48,21,5.0,E3,32.118789,86.841021,Plant2,V2.2,1970-01-01 00:00:00.000724209,185,Active
Dev1015,2024-10-27,5.04,65.65,984.96,0.307,3.326,1.601,4.02,22,21.0,Ok,31.808443,77.280211,Warehouse,V3.9,1970-01-01 00:00:00.000877402,159,Fault
Dev1043,2024-10-27,5.23,28.86,971.65,4.856,4.184,0.199,97.06,52,49.0,Ok,22.47387,91.270595,Plant1,V2.9,1970-01-01 00:00:00.000330949,219,Idle
Dev1007,2024-07-01,10.31,40.05,996.12,2.52,3.701,1.45,31.56,79,26.0,E2,20.762866,91.893583,Outdoor,V3.9,1970-01-01 00:00:00.000192784,78,Active
Dev1032,2024-03-22,47.76,36.9,1047.45,2.982,4.044,1.222,29.14,8,24.0,Ok,36.546616,73.883621,Plant1,V3.9,1970-01-01 00:00:00.000643518,325,Fault
Dev1030,2024-03-23,24.17,70.3,961.45,2.626,3.489,1.947,84.17,57,61.0,E1,22.73092,79.084037,Warehouse,V5.6,1970-01-01 00:00:00.000745868,143,Idle
Dev1007,2024-07-01,26.69,38.32,989.65,4.445,4.379,1.732,13.98,55,29.0,E1,12.778196,71.819346,Plant1,V4.2,1970-01-01 00:00:00.000400039,14,Idle
Dev1003,2024-11-02,24.39,27.01,1019.18,0.978,5.0,0.243,9.57,36,62.0,Warn,17.175062,72.055551,Plant1,V3.4,1970-01-01 00:00:00.000456905,329,Fault
Dev1035,2024-07-01,45.25,26.6,1049.78,2.474,4.22,1.867,91.79,2,34.0,Ok,19.151649,68.371128,Plant1,V4.9,1970-01-01 00:00:00.000125288,166,Idle
Dev1030,2024-03-22,-9.58,46.74,996.74,4.045,4.938,0.944,90.41,73,53.0,E1,10.87489,71.355783,Plant1,V3.3,1970-01-01 00:00:00.000124115,195,Idle
Dev1035,2024-02-10,24.13,56.09,1024.11,0.108,4.015,1.736,57.13,61,1.0,Ok,36.053762,69.873603,Outdoor,V3.4,1970-01-01 00:00:00.000676721,164,Idle
Dev1030,2024-08-30,48.48,95.66,1017.59,2.748,3.2,1.772,12.41,80,34.0,E1,36.387701,83.590133,Plant2,V3.2,1970-01-01 00:00:00.000356382,234,Idle
Dev1019,2024-02-10,31.95,25.5,966.2,0.846,4.624,1.544,77.35,67,3.0,Warn,21.673305,92.54758,Warehouse,V1.9,1970-01-01 00:00:00.000768249,141,Idle
Dev1034,2024-07-01,9.68,64.66,1043.07,3.89,3.754,1.02,39.32,45,27.0,E2,13.000366,78.351178,Outdoor,V2.0,1970-01-01 00:00:00.000663292,304,Active
Dev1041,2024-09-13,16.83,57.94,984.3,2.428,4.06,1.094,79.8,97,40.0,E2,12.437511,84.980409,Warehouse,V2.9,1970-01-01 00:00:00.000158736,219,Active
Dev1049,2024-10-27,48.89,61.12,1039.31,3.914,3.567,1.839,91.1,17,85.0,Warn,12.764228,94.730272,Plant2,V4.6,1970-01-01 00:00:00.000739953,38,Active
Dev1022,2024-10-27,43.66,44.38,960.96,4.901,3.474,1.853,50.05,41,9.0,Ok,25.963095,73.741058,Outdoor,V3.6,1970-01-01 00:00:00.000954133,145,Fault
Dev1031,2024-10-27,50.3,62.57,1003.84,0.774,3.958,0.766,71.68,71,35.0,E2,9.643033,94.99921,Warehouse,V2.8,1970-01-01 00:00:00.000496216,255,Active
Dev1037,2024-11-13,27.3,66.4,1049.32,0.867,4.404,0.28,41.28,75,79.0,E3,11.615698,88.517486,Warehouse,V2.9,1970-01-01 00:00:00.000315313,75,Fault
Dev1028,2024-09-24,45.01,40.14,966.93,3.202,3.964,1.73,60.01,21,43.0,Ok,25.93625,77.898445,Plant2,V5.6,1970-01-01 00:00:00.000797267,329,Idle
Dev1022,2024-04-22,43.72,49.74,1030.45,1.318,4.26,0.325,80.36,41,63.0,E2,31.388745,84.495199,Plant2,V1.8,1970-01-01 00:00:00.000167091,324,Active
Dev1028,2024-07-01,45.64,52.63,989.33,0.043,4.013,0.855,0.01,76,83.0,Warn,24.083338,86.418097,Outdoor,V3.9,1970-01-01 00:00:00.000063417,257,Idle
Dev1002,2024-10-27,31.14,48.84,990.8,4.704,4.794,0.522,57.65,92,33.0,Warn,16.245579,71.523692,Plant2,V1.5,1970-01-01 00:00:00.000438754,300,Idle
Dev1034,2024-12-29,18.52,95.56,986.51,0.81,3.624,1.904,95.32,50,68.0,E2,8.711031,73.550171,Plant2,V3.6,1970-01-01 00:00:00.000890122,349,Fault
Dev1013,2024-10-27,27.02,86.87,1040.05,4.646,4.011,1.435,70.23,41,28.0,E2,28.701676,74.167688,Warehouse,V5.8,1970-01-01 00:00:00.000958951,261,Active
Dev1025,2024-02-10,7.39,74.62,958.42,3.178,3.779,1.496,34.91,38,56.0,Ok,21.208142,79.442276,Plant1,V5.6,1970-01-01 00:00:00.000107059,153,Idle
Dev1032,2024-09-20,40.18,74.58,1000.86,0.893,4.313,0.402,64.1,35,85.0,E2,16.253666,69.160121,Warehouse,V3.4,1970-01-01 00:00:00.000106879,216,Fault
Dev1003,2024-09-24,5.58,13.29,1011.74,2.665,3.437,1.201,23.08,75,54.0,Warn,12.694874,74.861918,Warehouse,V3.2,1970-01-01 00:00:00.000491791,58,Fault
Dev1041,2024-09-24,30.91,74.07,1017.16,1.873,3.708,1.929,64.0,99,78.0,Ok,14.648717,81.452009,Outdoor,V1.5,1970-01-01 00:00:00.000958129,267,Fault
Dev1028,2024-09-24,37.93,86.14,1016.73,4.419,4.11,1.274,93.38,1,43.0,E2,10.050489,89.693237,Warehouse,V3.7,1970-01-01 00:00:00.000389844,244,Active
Dev1041,2024-09-24,11.04,47.5,1025.53,3.691,4.533,0.393,5.83,6,60.0,E3,14.687256,69.527076,Plant2,V4.0,1970-01-01 00:00:00.000527296,183,Fault
Dev1009,2024-02-10,38.4,75.6,1027.0,2.698,3.834,0.69,91.06,55,20.0,E3,31.31097,88.255154,Plant1,V4.6,1970-01-01 00:00:00.000540636,66,Fault
Dev1028,2024-07-01,19.74,98.3,957.98,3.311,4.967,1.86,97.12,93,54.0,E2,16.536254,80.467144,Outdoor,V3.9,1970-01-01 00:00:00.000112617,165,Fault
Dev1010,2024-11-04,4.13,84.17,974.97,0.203,4.079,1.915,9.53,88,66.0,E1,33.701524,96.825745,Plant2,V5.4,1970-01-01 00:00:00.000453796,72,Fault
Dev1006,2024-03-23,6.33,0.12,957.34,0.156,3.648,1.747,27.52,58,43.0,Ok,19.629911,73.114491,Plant1,V5.3,1970-01-01 00:00:00.000484774,2,Idle
Dev1006,2024-10-27,17.12,74.12,1036.64,2.129,3.163,1.706,9.85,0,79.0,Ok,20.771916,83.520767,Warehouse,V3.1,1970-01-01 00:00:00.000976303,61,Fault
Dev1029,2024-09-24,4.25,54.89,1017.65,4.707,4.397,0.536,64.94,9,69.0,E2,19.19688,90.047035,Outdoor,V2.8,1970-01-01 00:00:00.000333091,329,Active
Dev1044,2024-04-18,0.27,21.09,976.34,0.521,3.487,1.474,31.38,30,92.0,E3,15.650599,78.199284,Warehouse,V5.0,1970-01-01 00:00:00.000782178,193,Fault
Dev1022,2024-07-01,14.45,49.49,1005.99,3.937,4.829,0.636,59.26,82,64.0,E3,26.977043,86.301509,Plant1,V4.9,1970-01-01 00:00:00.000552265,66,Idle
Dev1037,2024-06-08,5.76,77.55,1017.17,2.128,3.852,1.415,84.06,1,74.0,E3,10.334937,81.559789,Outdoor,V4.5,1970-01-01 00:00:00.000051955,361,Active
Dev1037,2024-10-27,4.93,13.08,1047.19,2.63,4.479,1.028,90.47,88,76.0,Warn,19.798034,92.281648,Outdoor,V2.0,1970-01-01 00:00:00.000649388,298,Fault
Dev1041,2024-12-29,30.58,14.89,1001.94,0.65,3.231,1.293,82.84,99,64.0,Ok,12.916877,73.834898,Plant2,V2.6,1970-01-01 00:00:00.000714160,184,Idle
Dev1028,2024-10-26,22.01,84.91,1048.22,4.338,3.584,1.144,65.58,32,84.0,E1,22.940746,80.503281,Plant1,V4.5,1970-01-01 00:00:00.000092035,307,Fault
Dev1022,2024-07-23,59.64,38.76,974.74,1.687,4.249,0.481,13.87,44,82.0,Warn,21.908353,85.388622,Plant2,V1.0,1970-01-01 00:00:00.000747151,209,Active
Dev1043,2024-10-27,27.14,89.4,982.49,0.21,4.001,1.412,39.58,18,81.0,E2,9.859114,90.259181,Outdoor,V1.4,1970-01-01 00:00:00.000307736,96,Fault
Dev1031,2024-02-10,3.19,25.71,951.83,3.949,4.37,1.59,73.99,4,11.0,Warn,23.157116,96.082446,Outdoor,V4.5,1970-01-01 00:00:00.000572199,124,Active
Dev1000,2024-02-10,21.3,63.76,1019.79,2.47,3.733,0.483,45.13,67,70.0,E2,34.686922,84.822173,Warehouse,V3.3,1970-01-01 00:00:00.000836778,239,Active
Dev1031,2024-02-10,-1.68,68.8,1045.22,1.474,3.286,1.205,54.81,68,38.0,E3,16.465153,69.567558,Plant2,V5.5,1970-01-01 00:00:00.000350652,159,Active
Dev1006,2024-10-27,41.23,2.46,977.16,3.275,3.43,0.958,45.46,57,54.0,Ok,32.22593,95.587187,Plant1,V5.5,1970-01-01 00:00:00.000534596,136,Active
Dev1007,2024-12-29,33.66,78.0,1043.3,0.183,4.196,0.164,65.56,17,66.0,E3,16.47093,90.19449,Outdoor,V1.9,1970-01-01 00:00:00.000709253,179,Active
Dev1022,2024-02-10,48.78,44.98,984.07,4.685,3.907,1.097,60.08,43,13.0,Ok,24.902405,88.955384,Plant2,V1.2,1970-01-01 00:00:00.000018223,227,Fault
Dev1025,2024-11-01,48.96,59.88,964.9,3.586,3.27,1.137,2.74,82,45.0,E3,20.143755,89.601469,Plant1,V5.2,1970-01-01 00:00:00.000153758,224,Fault
Dev1031,2024-02-10,5.23,11.34,1012.8,4.203,3.506,0.412,78.69,12,24.0,E2,29.755909,70.263372,Plant1,V1.1,1970-01-01 00:00:00.000673106,133,Active
Dev1022,2024-10-26,54.67,5.62,1031.34,3.297,4.498,1.066,72.2,98,86.0,Warn,36.966063,93.16684,Plant1,V4.2,1970-01-01 00:00:00.000793625,115,Active
Dev1019,2024-12-29,-9.26,39.35,957.31,4.979,3.118,1.82,95.31,54,62.0,Ok,25.802102,74.559447,Warehouse,V1.7,1970-01-01 00:00:00.000790015,235,Fault
Dev1000,2024-06-20,3.98,93.96,1002.89,1.92,3.969,1.698,77.85,24,24.0,E2,11.51657,84.595144,Outdoor,V3.3,1970-01-01 00:00:00.000798385,185,Idle
Dev1007,2024-09-24,39.13,48.37,1031.98,4.106,3.097,1.616,40.72,48,93.0,E3,26.155741,72.489403,Outdoor,V3.5,1970-01-01 00:00:00.000631449,118,Active
Dev1006,2024-10-27,0.73,0.85,953.58,3.449,4.426,1.82,29.78,69,53.0,E1,9.648909,72.479389,Warehouse,V4.8,1970-01-01 00:00:00.000276386,131,Fault
Dev1015,2024-02-10,57.47,35.29,960.19,1.11,3.631,1.52,35.36,61,45.0,E1,16.884957,79.445597,Plant2,V2.9,1970-01-01 00:00:00.000442649,210,Active
Dev1041,2024-09-24,-3.38,2.71,1029.47,3.541,3.524,0.507,53.03,60,71.0,E1,14.078916,79.401631,Plant2,V1.4,1970-01-01 00:00:00.000783091,24,Active
Dev1030,2024-10-27,50.63,33.48,1033.49,2.433,3.763,0.378,74.78,67,21.0,Ok,25.746506,96.031107,Plant1,V4.1,1970-01-01 00:00:00.000540317,313,Active
Dev1015,2024-07-01,31.06,28.53,985.02,1.639,3.193,1.884,11.55,35,49.0,E2,21.182516,87.345696,Outdoor,V4.2,1970-01-01 00:00:00.000006241,334,Active
Dev1025,2024-02-10,55.85,37.33,1033.01,0.309,3.715,0.87,18.14,40,57.0,E1,19.313432,92.271193,Plant1,V4.0,1970-01-01 00:00:00.000900737,218,Active
Dev1015,2024-10-26,13.91,0.55,1022.28,4.266,4.326,0.359,7.72,28,73.0,E1,20.556506,73.234777,Outdoor,V4.7,1970-01-01 00:00:00.000030155,122,Fault
Dev1028,2024-07-01,34.44,71.82,1009.02,2.385,4.082,1.496,43.63,6,30.0,E3,20.923497,79.278779,Warehouse,V5.2,1970-01-01 00:00:00.000400158,289,Fault
Dev1025,2024-09-24,0.02,65.56,959.2,2.445,4.09,1.874,33.04,3,73.0,E3,25.242287,70.528509,Warehouse,V1.2,1970-01-01 00:00:00.000577671,201,Idle
Dev1043,2024-04-22,14.49,9.97,960.22,3.741,4.452,1.276,87.87,58,16.0,Ok,33.976127,69.996417,Outdoor,V3.6,1970-01-01 00:00:00.000133717,48,Idle
Dev1034,2024-02-10,16.04,95.9,1019.34,2.397,4.26,1.936,8.46,42,64.0,E1,24.788033,81.506112,Outdoor,V3.9,1970-01-01 00:00:00.000885362,9,Idle
Dev1034,2024-07-01,57.79,83.4,968.54,2.939,3.248,1.456,87.9,64,59.0,E1,11.060713,84.93247,Plant2,V5.2,1970-01-01 00:00:00.000513616,279,Active
Dev1006,2024-07-01,29.07,26.66,1045.51,2.994,4.359,0.93,55.09,48,70.0,E1,28.91185,81.825169,Plant1,V2.4,1970-01-01 00:00:00.000291880,285,Active
Dev1042,2024-10-26,14.02,47.84,1033.59,0.557,4.432,0.412,48.03,2,74.0,E2,21.653788,95.544769,Plant1,V1.0,1970-01-01 00:00:00.000859488,248,Active
Dev1029,2024-09-24,-5.56,17.34,1049.28,0.292,3.018,1.145,2.05,52,62.0,E1,16.664793,85.19633,Plant2,V2.0,1970-01-01 00:00:00.000568149,156,Idle
Dev1044,2024-09-24,40.37,27.4,992.21,1.182,3.061,1.634,45.47,60,56.0,E3,12.348608,83.185553,Plant2,V3.8,1970-01-01 00:00:00.000432763,319,Idle
Dev1041,2024-02-10,31.67,8.65,989.36,0.756,4.178,1.562,49.28,80,13.0,E2,34.434937,74.659307,Outdoor,V1.8,1970-01-01 00:00:00.000305623,302,Active
Dev1015,2024-10-13,12.04,28.32,993.81,4.225,3.251,0.748,92.59,59,70.0,E2,34.715828,82.404981,Warehouse,V5.8,1970-01-01 00:00:00.000039647,357,Active
Dev1022,2024-10-27,6.14,24.84,957.02,3.688,3.361,1.332,26.35,1,38.0,Warn,29.219123,80.509242,Warehouse,V5.1,1970-01-01 00:00:00.000221587,170,Idle
Dev1006,2024-07-01,0.34,77.01,961.4,0.238,4.498,1.437,45.19,53,50.0,Warn,30.467371,90.177525,Plant2,V1.1,1970-01-01 00:00:00.000706266,319,Active
Dev1044,2024-12-29,11.44,77.63,1002.69,3.848,4.895,1.064,10.96,47,20.0,Warn,21.544626,84.622739,Warehouse,V1.8,1970-01-01 00:00:00.000059817,107,Idle
Dev1040,2024-12-29,40.11,25.91,1030.14,1.684,4.055,0.576,0.75,15,45.0,E3,29.265114,71.426939,Plant2,V1.0,1970-01-01 00:00:00.000036739,262,Active
Dev1029,2024-07-01,-4.47,23.71,965.23,4.831,4.77,0.696,2.27,65,5.0,Warn,28.561694,87.27998,Plant1,V5.6,1970-01-01 00:00:00.000412792,111,Active
Dev1037,2024-01-30,-1.9,37.41,959.27,1.865,3.149,1.575,44.26,43,2.0,E2,31.253596,71.449263,Plant2,V1.6,1970-01-01 00:00:00.000648305,87,Fault
Dev1011,2024-07-01,17.23,54.96,1010.26,0.835,4.074,0.475,70.1,62,20.0,Ok,13.964946,73.411252,Plant2,V5.0,1970-01-01 00:00:00.000100975,145,Active
Dev1033,2024-02-10,42.87,3.92,1002.34,4.094,3.246,0.684,58.9,76,47.0,Warn,36.264012,88.398886,Outdoor,V3.9,1970-01-01 00:00:00.000965954,38,Fault
Dev1007,2024-11-18,11.6,93.91,1006.63,3.227,4.27,1.722,65.59,86,51.0,E3,23.320856,86.685607,Plant2,V5.0,1970-01-01 00:00:00.000885966,357,Active
Dev1002,2024-12-29,38.29,12.56,1029.81,0.624,4.618,1.494,59.15,53,15.0,Warn,11.295398,80.894129,Plant1,V4.9,1970-01-01 00:00:00.000709617,16,Active
Dev1007,2024-10-26,8.97,73.61,980.92,1.837,4.077,0.151,89.86,24,86.0,E3,26.031049,69.704485,Warehouse,V1.5,1970-01-01 00:00:00.000845508,234,Fault
Dev1028,2024-10-26,14.08,37.25,1009.31,1.301,4.469,0.279,37.7,49,15.0,E3,15.705175,78.503949,Plant1,V3.4,1970-01-01 00:00:00.000246905,206,Fault
Dev1025,2024-09-24,43.55,97.03,1004.86,1.021,3.983,0.313,87.18,95,83.0,E2,24.462382,81.153865,Warehouse,V3.1,1970-01-01 00:00:00.000737834,174,Active
Dev1003,2024-06-15,14.85,28.71,975.5,0.041,4.416,0.262,81.21,7,16.0,E3,27.036556,76.712399,Plant2,V2.6,1970-01-01 00:00:00.000388676,271,Idle
Dev1002,2024-10-27,-3.44,88.34,1001.51,0.114,3.692,0.519,64.32,83,97.0,Warn,11.503789,89.730079,Plant2,V4.0,1970-01-01 00:00:00.000172798,318,Idle
Dev1000,2024-09-24,4.39,89.11,1043.58,4.423,3.832,1.623,42.19,65,10.0,E1,23.343902,76.126761,Outdoor,V5.8,1970-01-01 00:00:00.000633069,156,Active
Dev1011,2024-07-01,41.27,63.14,1043.61,0.154,3.709,0.22,23.78,81,81.0,E3,19.149469,72.191105,Outdoor,V2.9,1970-01-01 00:00:00.000776456,142,Idle
Dev1041,2024-07-01,1.46,78.73,960.3,0.582,4.652,1.298,69.13,18,3.0,Ok,28.458577,94.921564,Warehouse,V2.3,1970-01-01 00:00:00.000781346,296,Active
Dev1017,2024-08-07,41.21,76.26,1036.82,4.203,4.989,1.031,77.81,91,46.0,E2,12.3713,87.331621,Warehouse,V4.1,1970-01-01 00:00:00.000890655,95,Idle
Dev1029,2024-12-29,49.14,68.48,988.97,3.049,4.915,1.887,95.54,69,4.0,E1,17.788009,87.035969,Plant1,V3.4,1970-01-01 00:00:00.000080245,97,Fault
Dev1030,2024-08-30,48.45,22.22,1003.73,2.366,3.648,1.353,54.62,20,93.0,E1,17.81733,72.941446,Outdoor,V2.3,1970-01-01 00:00:00.000926714,340,Active
Dev1028,2024-09-24,35.26,75.76,1047.39,0.175,3.291,0.447,72.51,74,66.0,E2,26.085793,85.496236,Plant2,V1.3,1970-01-01 00:00:00.000978951,279,Idle
Dev1041,2024-04-18,8.3,15.06,1006.61,0.809,4.236,0.404,63.9,4,53.0,Ok,13.508044,85.896544,Plant1,V3.5,1970-01-01 00:00:00.000758794,191,Active
Dev1013,2024-07-01,-2.5,34.95,1048.43,4.753,4.799,1.586,53.65,12,65.0,E1,25.266635,83.856804,Warehouse,V2.6,1970-01-01 00:00:00.000352898,68,Fault
Dev1037,2024-10-27,20.98,46.58,1024.39,4.818,4.475,1.326,83.21,73,57.0,E3,8.952166,68.993423,Plant1,V4.7,1970-01-01 00:00:00.000282516,322,Idle
Dev1022,2024-10-26,24.1,69.36,985.51,4.082,4.974,1.191,14.92,23,46.0,E1,29.961421,74.159459,Plant1,V1.2,1970-01-01 00:00:00.000939575,295,Active
Dev1032,2024-07-01,-0.39,25.43,967.17,0.592,4.294,1.016,14.97,65,36.0,E2,8.856954,74.003966,Warehouse,V1.0,1970-01-01 00:00:00.000288191,42,Fault
Dev1019,2024-07-01,41.17,48.88,958.32,2.3,4.841,0.251,62.86,70,3.0,E1,13.119308,95.848686,Outdoor,V5.7,1970-01-01 00:00:00.000660759,103,Idle
Dev1030,2024-06-15,4.1,64.93,985.63,2.007,3.824,1.638,1.28,33,78.0,E1,30.283648,69.793322,Warehouse,V4.2,1970-01-01 00:00:00.000361423,6,Fault
Dev1013,2024-12-29,4.93,76.82,1001.48,4.62,3.101,1.492,25.8,64,59.0,E2,27.707732,92.84743,Plant2,V4.5,1970-01-01 00:00:00.000730053,48,Active
Dev1034,2024-10-26,49.48,50.74,1031.84,1.811,4.948,0.576,90.05,78,88.0,E2,11.894466,77.6735,Warehouse,V1.1,1970-01-01 00:00:00.000639160,196,Idle
Dev1037,2024-12-29,6.66,5.48,989.81,4.306,3.674,1.144,77.82,61,68.0,E3,17.483407,87.140436,Plant2,V2.5,1970-01-01 00:00:00.000119234,16,Active
Dev1028,2024-07-01,28.12,23.6,985.75,2.343,3.902,1.288,33.65,72,79.0,E1,24.093619,85.168422,Outdoor,V4.3,1970-01-01 00:00:00.000015826,196,Idle
Dev1002,2024-09-24,54.65,72.86,1021.78,3.655,4.304,0.493,60.05,26,51.0,E2,31.408901,90.436503,Plant1,V2.6,1970-01-01 00:00:00.000612660,348,Active
Dev1035,2024-09-24,58.13,7.54,1028.15,3.019,3.658,0.03,41.53,48,98.0,E2,12.25376,88.143727,Outdoor,V5.7,1970-01-01 00:00:00.000469064,44,Active
Dev1011,2024-02-10,40.18,68.4,973.96,2.5,3.297,0.518,41.21,39,19.0,E2,36.071953,73.161897,Warehouse,V2.9,1970-01-01 00:00:00.000555188,129,Fault
Dev1022,2024-10-27,35.58,35.07,1001.02,4.808,3.464,1.19,56.21,96,95.0,Ok,8.063695,79.193971,Outdoor,V4.4,1970-01-01 00:00:00.000490086,172,Active
Dev1022,2024-04-02,42.49,59.76,1004.94,3.902,4.158,1.587,45.99,43,61.0,E1,10.386706,76.237126,Warehouse,V4.7,1970-01-01 00:00:00.000488272,314,Idle
Dev1019,2024-12-29,-3.94,32.2,1037.38,0.077,4.148,0.894,8.89,19,30.0,E2,17.796853,75.46275,Plant1,V2.3,1970-01-01 00:00:00.000283292,280,Idle
Dev1034,2024-09-24,30.5,29.23,959.94,0.552,3.629,1.047,85.1,54,58.0,Ok,22.298776,89.633751,Plant1,V2.7,1970-01-01 00:00:00.000100328,96,Fault
Dev1006,2024-07-01,18.29,18.72,970.42,1.306,4.586,0.817,68.38,0,58.0,E2,35.149784,94.133676,Plant2,V2.0,1970-01-01 00:00:00.000482060,197,Fault
Dev1033,2024-07-01,0.17,3.91,1039.92,0.89,4.179,1.494,16.75,9,63.0,Ok,14.351496,68.232602,Plant2,V2.9,1970-01-01 00:00:00.000696758,156,Fault
Dev1021,2024-07-01,11.15,31.92,1013.59,2.899,3.089,0.616,88.89,55,45.0,Ok,13.365166,81.561348,Outdoor,V4.8,1970-01-01 00:00:00.000359203,65,Idle
Dev1035,2024-07-01,7.76,14.73,1008.88,1.723,4.097,0.093,81.7,97,12.0,Warn,30.692729,74.778283,Outdoor,V1.5,1970-01-01 00:00:00.000612363,205,Active
Dev1040,2024-02-10,42.68,72.5,984.18,2.704,4.658,1.83,44.4,64,12.0,E3,34.616239,90.699635,Plant1,V2.1,1970-01-01 00:00:00.000684943,43,Fault
Dev1030,2024-02-10,45.25,53.87,1010.56,2.904,4.207,0.433,88.57,88,36.0,E2,12.243802,96.234964,Outdoor,V4.7,1970-01-01 00:00:00.000136195,231,Active
Dev1007,2024-12-29,49.75,62.01,969.22,3.088,4.313,0.669,54.1,26,15.0,E3,24.206891,82.323308,Outdoor,V5.7,1970-01-01 00:00:00.000196335,360,Fault
Dev1011,2024-07-01,55.2,24.9,1020.84,2.966,4.927,1.746,30.13,96,70.0,E1,24.186103,92.836369,Plant2,V3.3,1970-01-01 00:00:00.000543295,312,Fault
